DATE,PJMC RT LMP,PJMC RT CONG,PJMC DA LMP,PJMC DA CONG,MISO RT LMP,MISO RT CONG,MISO DA LMP,MISO DA CONG,MISO RTLOAD,MISO LOAD FC,Central RT LOAD,Central LOAD FC,MISO GAS GEN,MISO DA GAS,MISO COAL GEN,MISO DA COAL,MISO Nuclear Gen,MISO Nuclear DA,MISO Hydro Gen,MIS DA Hydro,PJM RTLOAD,PJM LOAD FC,PJM West LOAD,PJM West LOAD FC,PJM GAS Gen,PJM Coal Gen,PJM Nuclear Gen,PJM Hydro Gen,PJM Ramp Imports,PJM Ramp Exports,MISO Ramp Imports,MISO Ramp Exports,MISO ACE,PJM ACE,MISO/PJMC DALMP,MISO/PJMC RTLMP,MISO/PJMC DA CONG,MISO/PJMC RT CONG,PJM/MISO RT LOAD,MISO Net Load,PJM Net Load,PJM/MISO Net Load 
2019-05-30,20.17,0.00,19.69,-0.51,19.18,0.33,18.06,-0.60,65666.73,67398.88,33189.58,34368.38,17094.21,19169.80,24725.15,21621.03,10903.29,10142.33,1165.78,1276.71,75896.26,76630.25,39157.27,39431.38,29035.05,19525.95,32705.48,1114.68,980.84,1019.16,997.47,502.53,36.46,52.90,-1.63,-0.99,-0.08,0.33,10229.53,11778.31,-6484.89,-18263.20
2019-05-31,19.35,0.00,18.12,-0.98,19.25,0.19,18.67,0.13,65747.67,66153.38,32852.29,33227.63,16628.29,18196.11,23747.81,20886.56,11165.91,11003.60,1176.61,1153.73,74052.29,74584.38,38284.23,38479.00,29852.34,16143.35,32809.14,1347.60,941.34,1058.66,1015.03,484.97,17.93,6.63,0.55,-0.10,1.11,0.19,8304.62,13029.05,-6100.14,-19129.18
2019-06-01,18.51,0.00,18.94,0.12,18.33,0.02,18.38,-0.06,64082.74,65305.00,31897.00,32783.13,15288.49,17027.88,22561.80,20695.01,11235.09,10850.73,1205.50,1142.94,69838.79,70579.25,36535.36,36842.13,27256.15,14920.65,30510.36,1445.05,1012.72,987.28,978.16,521.84,-4.97,32.32,-0.56,-0.18,-0.18,0.02,5756.05,13791.85,-4293.42,-18085.28
2019-06-02,17.67,0.00,18.37,-0.16,18.59,0.02,16.22,-0.03,61575.74,62582.25,29871.72,31020.88,15866.08,17284.75,22539.91,19593.01,11406.17,11188.18,1151.93,1160.45,66625.44,67420.38,34211.43,34627.88,24239.24,15001.40,31122.29,1339.19,944.91,1055.09,1008.41,491.59,74.06,14.54,-2.16,0.92,0.13,0.02,5049.71,10611.65,-5076.67,-15688.32
2019-06-03,17.06,0.39,17.35,-0.31,15.29,-0.41,15.65,-0.14,63309.53,64955.00,30592.46,32171.75,15023.51,17204.68,21677.83,19937.98,11432.08,11266.53,1128.99,1167.54,67342.74,68082.63,35078.62,35504.75,24543.39,13775.51,32626.28,1350.73,1007.69,992.31,924.78,575.22,140.22,94.89,-1.70,-1.77,0.18,-0.80,4033.21,14047.11,-4953.16,-19000.28
2019-06-04,14.93,0.00,14.47,-1.64,16.30,0.00,15.23,-0.14,66122.85,68014.00,32114.45,33243.50,13938.91,15859.15,23087.18,20475.29,11393.77,11285.53,1112.46,1109.91,67242.10,67940.50,36373.42,36750.00,24379.70,14665.16,32304.75,1280.75,975.84,1024.16,1050.91,449.09,60.16,46.00,0.76,1.37,1.50,0.00,1119.25,16590.54,-5388.26,-21978.80
2019-06-05,19.46,0.03,19.57,0.09,15.27,0.00,16.94,-0.06,68905.09,70270.50,34212.22,35125.50,18385.55,20105.89,26197.60,23088.39,11229.69,11260.33,1126.33,1123.29,71666.45,72366.88,38668.62,39059.25,25855.93,15350.54,31865.16,1050.25,977.09,1022.91,1022.34,477.66,-49.35,27.35,-2.63,-4.19,-0.15,-0.03,2761.36,11965.92,-2455.43,-14421.35
2019-06-06,20.29,0.00,19.39,0.03,18.36,0.00,17.67,-0.25,68165.97,69554.00,34439.41,36130.63,19759.76,21193.18,27290.14,23270.86,11241.96,11235.48,1115.80,1136.46,76733.18,77416.25,39212.51,39707.50,31727.19,17316.33,31657.33,1084.69,968.28,1031.72,1034.91,465.09,16.73,64.99,-1.72,-1.93,-0.28,0.00,8567.22,8758.31,-5052.34,-13810.65
2019-06-07,19.02,0.26,18.62,-0.05,17.16,-0.06,17.48,-0.01,69299.91,68917.75,34642.75,35323.75,19093.88,20680.53,25004.48,21584.09,11208.19,11212.23,1077.08,1109.01,75728.51,76483.75,38716.39,39047.88,31011.73,16472.21,31595.05,971.96,935.56,1064.44,1037.25,462.75,21.45,54.89,-1.13,-1.86,0.04,-0.31,6428.60,12916.29,-4322.44,-17238.73
2019-06-08,16.04,0.00,16.92,0.04,15.01,0.00,15.62,-0.09,65467.23,66399.75,32031.86,33261.88,14717.35,16387.89,22136.51,19770.30,11220.70,11203.23,1136.00,1002.98,69052.15,70123.38,35821.80,36529.88,25801.64,14483.11,31601.13,912.59,950.91,1049.09,1007.50,492.50,53.91,70.76,-1.30,-1.03,-0.13,0.00,3584.92,16256.67,-3746.32,-20002.98
