DATE,PJMC RT LMP,PJMC RT CONG,PJMC DA LMP,PJMC DA CONG,MISO RT LMP,MISO RT CONG,MISO DA LMP,MISO DA CONG,MISO RTLOAD,MISO LOAD FC,Central RT LOAD,Central LOAD FC,MISO GAS GEN,MISO DA GAS,MISO COAL GEN,MISO DA COAL,MISO Nuclear Gen,MISO Nuclear DA,MISO Hydro Gen,MIS DA Hydro,PJM RTLOAD,PJM LOAD FC,PJM West LOAD,PJM West LOAD FC,PJM GAS Gen,PJM Coal Gen,PJM Nuclear Gen,PJM Hydro Gen,PJM Ramp Imports,PJM Ramp Exports,MISO Ramp Imports,MISO Ramp Exports,MISO ACE,PJM ACE,MISO/PJMC DALMP,MISO/PJMC RTLMP,MISO/PJMC DA CONG,MISO/PJMC RT CONG,PJM/MISO RT LOAD,MISO Net Load,PJM Net Load,PJM/MISO Net Load 
2019-05-30,29.213125,0,27.5375,-2.079375,26.82072919,1.41885425,28.8904375,-1.0318125,82081.17375,82696.75,41588.75,40906.5625,23431.65104,26779.58125,34164.07813,32274.30625,11311.69792,10075.475,1665.8875,1740.575,99958.01838,100752.9375,49736.95494,50024.0625,39962.8625,24557.7875,32950.575,3220.3125,1017.109375,982.890625,994.859375,505.140625,-0.309687563,38.05437831,1.3529375,-2.392395813,1.0475625,1.41885425,17876.84463,11507.85917,-733.519125,-12241.37829
2019-05-31,25.575,-0.0025,26.610625,-2.2975,36.351302,0.69895825,29.284,0.6145,84505.46188,83710.6875,42326.55938,41891.875,22558.28646,26483.34375,34880.94792,32099.525,11191.88542,11127.0375,1098.1875,1680.20625,98430.07531,99214.125,49799.31913,50133.5625,41880.63125,21269.225,32766.49375,3558.3875,1006.734375,993.265625,1012.25,487.75,-6.27753125,110.4027399,2.673375,10.776302,2.912,0.70145825,13924.61344,14776.15458,-1044.662188,-15820.81677
2019-06-01,24.9375,0.12375,24.14375,-0.155625,29.55968744,-0.639427063,26.01725,-0.638625,77618.135,78013.8125,38676.10563,38616,19913.65104,22965.675,32182.06771,30100.86875,11327.66146,10815.7875,1413.6125,1422.925,89668.26081,90386.4375,45940.57375,46234.875,36152.20625,18680.175,30715.10625,3159.33125,1005.734375,994.265625,1007.859375,492.140625,54.89765106,-5.548117313,1.8735,4.622187438,-0.483,-0.763177063,12050.12581,12781.14229,961.4420625,-11819.70023
2019-06-02,26.149375,0.32,22.396875,-0.1475,23.53067706,-0.09390625,20.9285625,-0.271,74001.14375,73230.3125,35392.20313,34907.125,19947.88542,22746.76875,32284.72917,27922.53125,11472.53125,11224.9,1211.9375,1202.3875,85603.34575,86330.1875,41456.09819,41734.125,33896.725,18082.01875,32011.825,2342.2375,1029.578125,970.421875,1003.859375,496.140625,56.90914588,53.38154525,-1.4683125,-2.618697938,-0.1235,-0.41390625,11602.202,9084.060417,-729.4605,-9813.520917
2019-06-03,22.524375,0.031875,24.546875,0.015,22.21255213,0.63046875,20.9503125,0.354625,82004.28188,83860.4375,39455.125,40771.3125,20768.45313,24364.95625,33091.20833,32033.3125,11451.94792,11260.275,1358.775,1442.8375,85800.1545,86663.4375,44667.93244,45131.75,34329.825,19306.8375,32830.5375,2017.7125,1014.71875,985.28125,997.671875,502.328125,10.02752594,83.5115375,-3.5965625,-0.311822875,0.339625,0.59859375,3795.872625,15333.8975,-2684.758,-18018.6555
2019-06-04,21.961875,-0.306875,24.579375,-0.42875,20.70661469,-0.563593688,22.1583125,0.1326875,85821.77875,85873.875,41693.46813,41197.8125,21239.70313,25120.95625,35323.16667,33977.45,11240.48958,11239.9,1437.13125,1487.5875,87278.548,87899.6875,47041.78181,47416.5,34287.5375,19757.53125,31973.54375,1851.93125,1008.421875,991.578125,982.015625,517.984375,-23.34705213,59.04338563,-2.4210625,-1.255260313,0.5614375,-0.256718688,1456.76925,16581.28813,-591.99575,-17173.28388
2019-06-05,35.70625,-0.20375,28.784375,0.365625,36.12239581,7.439010438,31.45175,-0.1858125,87009.01188,87998.125,45762.42813,45213.1875,25881.21875,29661.85,37940.75,34916.975,11210.44271,11250.35,1878.3375,1865.4625,98425.41881,99108,50871.06538,51104.375,41001.04375,23074.98125,31744.9625,3004.84375,997.640625,1002.359375,1000.515625,499.484375,-6.963427063,79.57736588,2.667375,0.416145812,-0.5514375,7.642760438,11416.40694,10098.26292,-400.4124375,-10498.67535
2019-06-06,30.553125,0,27.79125,-0.038125,29.20265625,0,27.2500625,-1.853125,87013.50188,86053.8125,44780.88313,45129.75,26511.22292,29122.0625,39315.74366,35008.19375,11233.44801,11255.725,1729.9375,1756.84375,105280.2651,105954.125,51771.83256,52207.25,44717.29375,25420.01875,31664.2,3355.53125,1013.265625,986.734375,976.078125,523.921875,-0.065536438,89.90770838,-0.5411875,-1.35046875,-1.815,0,18266.76319,8223.149792,123.2213125,-8099.928479
2019-06-07,24.453125,-0.338125,25.790625,-0.84125,22.91276038,0,24.09725,-0.2044375,88099.24875,85381.375,44547.38438,43235.25,23463.28125,27415.20625,36836.06944,33487.81875,11217.05382,11229.1,1700.45,1743,96933.39556,97579.5,49334.82513,49890.25,39037.3,22320.11333,31618.52,2465.513333,1042.21875,957.78125,974.53125,525.46875,-6.807734438,49.84873694,-1.693375,-1.540364625,0.6368125,0.338125,8834.146813,14882.39424,7457.039313,-7425.354923
2019-06-08,22.264375,-2.480625,23.59625,0.195,18.87677088,0.018020813,20.44,-0.15225,79223.66125,78874.875,38380.7175,38788.0625,19521.60069,22332.99375,32499.73993,30381.78125,11567.91146,11571.35,1479.94375,1495.675,86801.83938,87473.625,44195.368,44719,34907.675,18081.2125,32311.125,1816.11875,1044.25,955.75,951.390625,548.609375,-39.58074994,24.5493855,-3.15625,-3.387604125,-0.34725,2.498645813,7578.178125,14154.46542,-314.291875,-14468.75729
